Paper ID,Title,Authors,Year,Filename
1503.07077,Rotation-invariant convolutional neural networks for galaxy morphology prediction,"Sander Dieleman, Kyle W. Willett, Joni Dambre",2015,1503.07077_Rotation-invariant_convolutional_neural_networks_for_galaxy_morphology_prediction.pdf
1504.00548,Learning to Understand Phrases by Embedding the Dictionary,"Felix Hill, Kyunghyun Cho, Anna Korhonen, Yoshua Bengio",2015,1504.00548_Learning_to_Understand_Phrases_by_Embedding_the_Dictionary.pdf
1504.02462,A Group Theoretic Perspective on Unsupervised Deep Learning,"Arnab Paul, Suresh Venkatasubramanian",2015,1504.02462_A_Group_Theoretic_Perspective_on_Unsupervised_Deep_Learning.pdf
1504.06852,FlowNet: Learning Optical Flow with Convolutional Networks,"Philipp Fischer, Alexey Dosovitskiy, Eddy Ilg, Philip Häusser, Caner Hazırbaş, Vladimir Golkov, Patrick van der Smagt, Daniel Cremers, Thomas Brox",2015,1504.06852_FlowNet_Learning_Optical_Flow_with_Convolutional_Networks.pdf
1504.07225,Correlational Neural Networks,"Sarath Chandar, Mitesh M. Khapra, Hugo Larochelle, Balaraman Ravindran",2015,1504.07225_Correlational_Neural_Networks.pdf
1504.08215,Lateral Connections in Denoising Autoencoders Support Supervised Learning,"Antti Rasmus, Harri Valpola, Tapani Raiko",2015,1504.08215_Lateral_Connections_in_Denoising_Autoencoders_Support_Supervised_Learning.pdf
1505.00387,Highway Networks,"Rupesh Kumar Srivastava, Klaus Greff, Jürgen Schmidhuber",2015,1505.00387_Highway_Networks.pdf
1505.00393,ReNet: A Recurrent Neural Network Based Alternative to Convolutional Networks,"Francesco Visin, Kyle Kastner, Kyunghyun Cho, Matteo Matteucci, Aaron Courville, Yoshua Bengio",2015,1505.00393_ReNet_A_Recurrent_Neural_Network_Based_Alternative_to_Convolutional_Networks.pdf
1505.00468,VQA: Visual Question Answering,"Aishwarya Agrawal, Jiasen Lu, Stanislaw Antol, Margaret Mitchell, C. Lawrence Zitnick, Dhruv Batra, Devi Parikh",2015,1505.00468_VQA_Visual_Question_Answering.pdf
1505.00853,Empirical Evaluation of Rectified Activations in Convolutional Network,"Bing Xu, Naiyan Wang, Tianqi Chen, Mu Li",2015,1505.00853_Empirical_Evaluation_of_Rectified_Activations_in_Convolutional_Network.pdf
1505.01121,Ask Your Neurons: A Neural-based Approach to Answering Questions about Images,"Mateusz Malinowski, Marcus Rohrbach, Mario Fritz",2015,1505.01121_Ask_Your_Neurons_A_Neural-based_Approach_to_Answering_Questions_about_Images.pdf
1505.01809,Language Models for Image Captioning: The Quirks and What Works,"Jacob Devlin, Hao Cheng, Hao Fang, Saurabh Gupta, Li Deng, Xiaodong He, Geoffrey Zweig, Margaret Mitchell",2015,1505.01809_Language_Models_for_Image_Captioning_The_Quirks_and_What_Works.pdf
1505.03159,Monocular Object Instance Segmentation and Depth Ordering with CNNs,"Ziyu Zhang, Alexander G. Schwing, Sanja Fidler, Raquel Urtasun",2015,1505.03159_Monocular_Object_Instance_Segmentation_and_Depth_Ordering_with_CNNs.pdf
1505.05612,Are You Talking to a Machine? Dataset and Methods for Multilingual Image Question Answering,"Haoyuan Gao, Junhua Mao, Jie Zhou, Zhiheng Huang, Lei Wang, Wei Xu",2015,1505.05612_Are_You_Talking_to_a_Machine_Dataset_and_Methods_for_Multilingual_Image_Question_Answering.pdf
1506.02075,Large-scale Simple Question Answering with Memory Networks,"Antoine Bordes, Nicolas Usunier, Sumit Chopra, Jason Weston",2015,1506.02075_Large-scale_Simple_Question_Answering_with_Memory_Networks.pdf
1506.02078,Visualizing and Understanding Recurrent Networks,"Andrej Karpathy, Justin Johnson, Li Fei-Fei",2015,1506.02078_Visualizing_and_Understanding_Recurrent_Networks.pdf
1506.02216,A Recurrent Latent Variable Model for Sequential Data,"Junyoung Chung, Kyle Kastner, Laurent Dinh, Kratarth Goel, Aaron Courville, Yoshua Bengio",2015,1506.02216_A_Recurrent_Latent_Variable_Model_for_Sequential_Data.pdf
1506.02338,Modeling Order in Neural Word Embeddings at Scale,"Andrew Trask, David Gilmore, Matthew Russell",2015,1506.02338_Modeling_Order_in_Neural_Word_Embeddings_at_Scale.pdf
1506.02516,Learning to Transduce with Unbounded Memory,"Edward Grefenstette, Karl Moritz Hermann, Mustafa Suleyman, Phil Blunsom",2015,1506.02516_Learning_to_Transduce_with_Unbounded_Memory.pdf
1506.02544,Learning with Group Invariant Features: A Kernel Perspective,"Youssef Mroueh, Stephen Voinea, Tomaso Poggio",2015,1506.02544_Learning_with_Group_Invariant_Features_A_Kernel_Perspective.pdf
1506.02617,Path-SGD: Path-Normalized Optimization in Deep Neural Networks,"Behnam Neyshabur, Ruslan Salakhutdinov, Nathan Srebro",2015,1506.02617_Path-SGD_Path-Normalized_Optimization_in_Deep_Neural_Networks.pdf
1506.02626,Learning both Weights and Connections for Efficient Neural Networks,"Song Han, Jeff Pool, John Tran, William J. Dally",2015,1506.02626_Learning_both_Weights_and_Connections_for_Efficient_Neural_Networks.pdf
1506.03011,Learning to Linearize Under Uncertainty,"Ross Goroshin, Michael Mathieu, Yann LeCun",2015,1506.03011_Learning_to_Linearize_Under_Uncertainty.pdf
1506.03134,Pointer Networks,"Oriol Vinyals, Meire Fortunato, Navdeep Jaitly",2015,1506.03134_Pointer_Networks.pdf
1506.03340,Teaching Machines to Read and Comprehend,"Karl Moritz Hermann, Tomáš Kočiský, Edward Grefenstette, Lasse Espeholt, Will Kay, Mustafa Suleyman, Phil Blunsom",2015,1506.03340_Teaching_Machines_to_Read_and_Comprehend.pdf
1506.03767,Spectral Representations for Convolutional Neural Networks,"Oren Rippel, Jasper Snoek, Ryan P. Adams",2015,1506.03767_Spectral_Representations_for_Convolutional_Neural_Networks.pdf
1506.04834,Tree-structured composition in neural networks without tree-structured architectures,"Samuel R. Bowman, Christopher D. Manning, Christopher Potts",2015,1506.04834_Tree-structured_composition_in_neural_networks_without_tree-structured_architectures.pdf
1506.05254,Gradient Estimation Using Stochastic Computation Graphs,"John Schulman, Nicolas Heess, Theophane Weber, Pieter Abbeel",2015,1506.05254_Gradient_Estimation_Using_Stochastic_Computation_Graphs.pdf
1506.05751,Deep Generative Image Models using a Laplacian Pyramid of Adversarial Networks,"Emily Denton, Soumith Chintala, Arthur Szlam, Rob Fergus",2015,1506.05751_Deep_Generative_Image_Models_using_a_Laplacian_Pyramid_of_Adversarial_Networks.pdf
1506.05869,A Neural Conversational Model,"Oriol Vinyals, Quoc Le",2015,1506.05869_A_Neural_Conversational_Model.pdf
1506.05908,Deep Knowledge Tracing,"Chris Piech, Jonathan Spencer, Jonathan Huang, Surya Ganguli, Mehran Sahami, Leonidas Guibas, Jascha Sohl-Dickstein",2015,1506.05908_Deep_Knowledge_Tracing.pdf
1506.06726,Skip-Thought Vectors,"Ryan Kiros, Yukun Zhu, Ruslan Salakhutdinov, Richard S. Zemel, Antonio Torralba, Raquel Urtasun, Sanja Fidler",2015,1506.06726_Skip-Thought_Vectors.pdf
1506.08230,Convolutional networks and learning invariant to homogeneous multiplicative scalings,"Mark Tygert, Arthur Szlam, Soumith Chintala, Marc'Aurelio Ranzato, Yuandong Tian, Wojciech Zaremba",2015,1506.08230_Convolutional_networks_and_learning_invariant_to_homogeneous_multiplicative_scalings.pdf
1506.08473,Beating the Perils of Non-Convexity: Guaranteed Training of Neural Networks using Tensor Methods,"Majid Janzamin, Hanie Sedghi, Anima Anandkumar",2015,1506.08473_Beating_the_Perils_of_Non-Convexity_Guaranteed_Training_of_Neural_Networks_using_Tensor_Methods.pdf
1506.08700,Dropout as data augmentation,"Xavier Bouthillier, Kishore Konda, Pascal Vincent, Roland Memisevic",2015,1506.08700_Dropout_as_data_augmentation.pdf
